SITE_ID,COUNTRY,IGBP,LOCATION_LAT,LOCATION_LONG,MAP,URL_FLUXNET,UTC_OFFSET,isduplicated,FLUX_MEASUREMENTS_DATE_END,FLUX_MEASUREMENTS_DATE_START,FLUX_MEASUREMENTS_METHOD,FLUX_MEASUREMENTS_VARIABLE,LOCATION_DATE_START,LOCATION_ELEV,MAT,TERRAIN,WIND_DIRECTION,ACKNOWLEDGEMENT,ASPECT,DOM_DIST_MGMT,FLUX_MEASUREMENTS_OPERATIONS,REFERENCE_COMMENT,REFERENCE_DOI,REFERENCE_PAPER,REFERENCE_USAGE,RESEARCH_TOPIC,SHIPPING_ADDRESS,SITE_DESC,SITE_FUNDING,SITE_SNOW_COVER_DAYS,SURFACE_HOMOGENEITY,TOWER_POWER,TOWER_TYPE,URL,ACKNOWLEDGEMENT_COMMENT,DM_COMMENT,DM_DATE,DM_FORESTRY,FLUX_MEASUREMENTS_COMMENT,IGBP_COMMENT,LAND_OWNER,LAND_OWNERSHIP,STATE,DM_FIRE,LOCATION_COMMENT,DM_INS_PATH,UTC_OFFSET_DATE_START,UTC_OFFSET_COMMENT,IGBP_DATE_START,DM_GENERAL,DM_DATE_UNC,DM_ENCROACH,DM_EXT_WEATHER,DM_WATER,DM_DATE_END,DM_DATE_START,DM_SURF,DM_SURF_MEAS_UNC,DM_GRAZE,V1
AU-Gin,Australia,WSA,-31.3764,115.7138,NA,http://sites.fluxdata.org/AU-Gin/,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-GWW,Australia,SAV,-30.1913,120.6541,NA,http://sites.fluxdata.org/AU-GWW/,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-How,Australia,WSA,-12.4943,131.1523,NA,http://sites.fluxdata.org/AU-How/,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-Lox,Australia,DBF,-34.4704,140.6551,NA,http://sites.fluxdata.org/AU-Lox/,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-RDF,Australia,WSA,-14.5636,132.4776,NA,http://sites.fluxdata.org/AU-RDF/,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-Rig,Australia,GRA,-36.6499,145.5759,NA,http://sites.fluxdata.org/AU-Rig/,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-Rob,Australia,EBF,-17.1175,145.6301,NA,http://sites.fluxdata.org/AU-Rob/,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-Stp,Australia,GRA,-17.1507,133.3502,NA,http://sites.fluxdata.org/AU-Stp/,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-TTE,Australia,OSH,-22.2870,133.6400,NA,http://sites.fluxdata.org/AU-TTE/,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-Tum,Australia,EBF,-35.6566,148.1517,NA,http://sites.fluxdata.org/AU-Tum/,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-Wac,Australia,EBF,-37.4259,145.1878,NA,http://sites.fluxdata.org/AU-Wac/,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-Whr,Australia,EBF,-36.6732,145.0294,NA,http://sites.fluxdata.org/AU-Whr/,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-Wom,Australia,EBF,-37.4222,144.0944,NA,http://sites.fluxdata.org/AU-Wom/,10,NA,NA,NA,NA,NA,NA,705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AU-Ync,Australia,GRA,-34.9893,146.2907,NA,http://sites.fluxdata.org/AU-Ync/,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE-Bra,Belgium,MF,51.3092,4.5206,750,http://sites.fluxdata.org/BE-Bra/,1,NA,NA,NA,NA,NA,1996,16,9.8,NA,SW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE-Lon,Belgium,CRO,50.5516,4.7461,800,http://sites.fluxdata.org/BE-Lon/,1,NA,2012,200404010100,Eddy Covariance,CO2,NA,167,10,Gentle slope (<2 %),SW,Supported by Service Public de Wallonie,WSW,Agriculture,Continuous operation,Analyses of Eddy co-variance measurements of CO_ fluxes,10.1016/j.agrformet.2006.05.009,"Moureaux, C., Debacq, A., Bodson, B., Heinesch, B., Aubinet, M., 2006. Annual net ecosystem carbon exchange by a sugar beet crop. Agricultural and Forest Meteorology 139, 25-39.",Primary_Citation,"Carbon balance, discrimination of TER between autotrophic and heterotrophic components, N2O measurements, phenology underground, BVOC","Passage des D<8e>port<8e>s 2, 5030 Gembloux, Belgium","Cropland (The land has been cultivated for more than 75 years) - 4-year rotation : sugar beet, winter wheat, patato, winter wheat (Beginning in 2000)",Service Public de Wallonie,15,240,Direct power,triangle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BE-Vie,Belgium,MF,50.3051,5.9981,1062,http://sites.fluxdata.org/BE-Vie/,1,FALSE,2009,199608010100,Eddy Covariance,CO2,NA,493,7.8,"Medium Slope (>2 %, <5%)",WSW,Supported by Service Public de Wallonie,NW,Forestry,Continuous operation,Analyses of Eddy co-variance measurements of water vapour and CO_ fluxes,10.1016/s0168-1923(01)00244-1,"Aubinet, M., Chermanne, B., Vandenhaute, M., Longdoz, B., Yernaux, M., Laitat, E., 2001. Long term carbon dioxide exchange above a mixed forest in the Belgian Ardennes. Agricultural and Forest Meteorology 108(4), 293-315.",Primary_Citation,"Water balance, phenology, carbon sequestration, BVOC, soil efflux and isotopes, data quality","Croix du Sud 2 - L7.05.09, 1348 Louvain-la-Neuve, Belgium","1882, the stand was sparsely planted with Scots pine. 1908, beeches were planted in the undercover, four 100m_ circular plots of silver fir were planted. 1935, Douglas fir were planted 1950,1960,1961, plantation of Douglas fir to fill the gaps. The initial Scots pine stand was removed by successive thinings.",Service Public de Wallonie,30,1500,Direct power,walk-up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR-Sa1,Brazil,EBF,-2.8567,-54.9589,2075,http://sites.fluxdata.org/BR-Sa1/,-4,NA,NA,2002,Eddy Covariance,CO2,NA,88,26.13,NA,NA,NA,NA,NA,Continuous operation,NA,NA,"A. H. Rice;E. H. Pyle;S. R. Saleska;L. Hutyra;M. Palace;M. Keller;P. B. de Camargo;K. Portilho;D. F. Marques;S. C. Wofsy. 2004. Carbon balance and vegetation dynamics in an old-growth Amazonian forest, Ecological Applications, 14:4. S55-S71.",Reference,"The research and science objectives of the LBA Tapajos KM67 Mature Forest site are as follows: 1) Investigate the long-term interannual variance of carbon exchange in old-growth Amazonian forests; 2) Determine the controls on seasonal and inter-annual variations of net ecosystem exchange of CO2, respiration, and photosynthesis, and water exchange; 3) Examine the seasonal limitations of forest growth; 4) Demonstrate that observed sub-canopy horizontal CO2 gradients and wind transport processes yield significant mean net transport of CO2 into or out of the control volume; 5) Examine forest biomass and dynamics at varying spatial scales. (Pyle et al., 2008, Tota et al., 2008, Hutyra et al., 2007)",NA,"The LBA Tapajos KM67 Mature Forest site is located in the Tapajos National Forest, a 450,000 ha closed-canopy upland forest in Amazonian Brazil. Bounded by the Tapajos River in the west and highway BR-163 to the east, the tower is located on a flat plateau (or planalto) that extends up to 150 km to the north, south, and east. Within the confines of the National Forest, anthropogenic disturbances are limited to a few small hunting trails. The surrounding stand is classified as primary or ""old-growth"""" predominantly by its uneven age distribution,  emergent trees,  numerous epiphytes and abundant large logs. In 2007 falling trees hit the tower guy wires rendering all instrumentation in-operational. After a complete restoration tower measurements resumed in August of 2008.",NSF PIRE,NA,NA,NA,NA,http://atmos.seas.harvard.edu/lab/brazil/index.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BR-Sa3,Brazil,EBF,-3.0180,-54.9714,2044,http://sites.fluxdata.org/BR-Sa3/,-4,NA,2003,2000,Eddy Covariance,CO2,NA,100,26.12,NA,NA,NA,NA,NA,Continuous operation,NA,NA,"B. Kruijt; J. A. Elbers; C. von Randow; A. C. Araujo; P. J. Oliveira; A. Culf; A. O. Manzi; A. D. Nobre; P. Kabat; E. J. Moors. 2004. The robustness of eddy correlation fluxes for Amazon rain forest conditionsEcological Applications. 14:4, S101-S113.",Reference,NA,NA,Cleared forest. Logged site is near km 83 along BR-183.,"NASA",NA,NA,NA,NA,http://www.ess.uci.edu/~lba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-Gro,Canada,MF,48.2167,-82.1556,831,http://sites.fluxdata.org/CA-Gro/,-5,NA,NA,2003,Eddy Covariance,CO2,NA,340,1.3,Flat,NA,We acknowledge the PI and the principal funders of the Groundhog River Flux Station for the provision of flux data plus ancillary meteorological and ecological data from this mixedwood boreal site,NA,Forestry,Continuous operation,Each time the data from the site are used to produce a publishable product.,NA,"Chen, J.M.; Govind, A.; Sonnentag, O.; Zhang, Y.; Barr, A.; Amiro, B. 2006. Leaf area index measurements at Fluxnet Canada forest sites. Agric. For. Meteorol. 140, 257-268.",Reference,"Dynamics of carbon dioxide, water, and energy fluxes and the associated meteorological drivers; assessment of the ecological character of the forest; examination of the use of remote sensing to model carbon dioxide exchange and the status of macronutrients in the canopy.","Department of Geography, Room D201 MacKintosh-Corry Hall, 68 University Avenue, Kingston, Ontario, Canada K7L 3N6","Groundhog River (FCRN or CCP site ""ON-OMW"") is situated in a typical boreal mixedwood forest in northeastern Ontario (48.217 degrees north and 82.156 degrees west) about 80 km southwest of Timmins in Reeves Twp. near the Groundhog River. Rowe (1972) places the site in the Missinaibi-Cabonga Section of the Boreal Forest Region. In terms of ecoregion and ecozone, the site is in the Lake Timiskaming Lowlands of the Boreal Shield. The forest developed after high-grade logging in the 1930's. The average age in 2013 is estimated at beteen 75  and 80 years. The forest is dominated by five species characteristic of Ontario boreal mixedwoods: trembling aspen (Populus tremuloides Michx.), black spruce (Picea mariana (Mill.) B.S.P.), white spruce (Picea glauca (Moench.) Voss.), white birch (Betula papyrifera Marsh.), and balsam fir (Abies balsamea (L.) Mill.). The surficial geology is a lacustrine deposit of varved or massive clays, silts and silty sands. The soil is an orthic gleysol with a soil moisture regime classified as fresh to very fresh. Plonski (1974) rates it as a site class 1. The topography is simple and flat with an overall elevation of 340 m ASL.","Currently, the Ontario Ministry of the Environment is the principal funder",NA,NA,NA,NA,NA,Each time the data from the site are used to produce a publishable product.,natural regeneration; forest developed after high-grade logging in the 1930's,1930,Clearcutting,Ongoing,"Boreal mixedwood (trembling aspen, black spruce, white spruce, white birch, and balsam fir)",Public,public,Ontario,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-Man,Canada,ENF,55.8796,-98.4808,520,http://sites.fluxdata.org/CA-Man/,-6,NA,2008,1994,Eddy Covariance,CO2,NA,259,-3.2,Flat,NA,"The data collection was funded by many sources, including: the DOE Terrestrial Carbon Program, NASA Terrestrial Ecosystem Program, the Fluxnet Canada Research Network and the Canadian Carbon Program (supported by the Canadian National Science and Engineering Research Council (NSERC), the Canadian Foundation for Climate and Atmospheric Sciences and the BIOCAP Canada Foundation).",NA,Fire,Continuous operation,NA,NA,"A. I. Hirsch; S. E. Trumbore; M. L. Goulden. 2004. The surface CO2 gradient and pore-space storage flux in a high-porosity litter layerTellus Series B-Chemical and Physical Meteorology. 56:4, 312-321.",Reference,NA,NA,"55.880<a1> N, 98.481<a1> W, elevation of 259 m, Boreal coniferous: Black spruce; occasional larch present in poorly-drained areas. Groundcover is moss (feathermosses and Sphagnum), Labrador Tea, Vaccinium, and willows are a main component of the understory. It was established in 1993 as a BOREAS site.","DOE, NSF, Canadian Foundation for Climate and Atmospsheric Science, BIOCAP Canada",NA,NA,NA,NA,http://daac.ornl.gov/BOREAS/bhs/Sites/NSA-OBS.html,When heavily using this site in a paper.,natural regeneration,NA,NA,Decommissioned,naturally regenerated  forest stand after wild fire,NA,private,NA,Nature induced burn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-NS1,Canada,ENF,55.8792,-98.4839,500,http://sites.fluxdata.org/CA-NS1/,-6,NA,2005,2002,Eddy Covariance,CO2,NA,260,-2.89,NA,NA,NA,NA,NA,Continuous operation,NA,NA,"Goulden, Michael L, Winston, Gregory C., McMillan, Andrew M. S.; Litvak, Marcy E.; Read, Edward L.; Rocha, Adrian V.; Elliot, J. Rob. 2006. n eddy covariance mesonet to measure the effect of forest age on land-atmosphere exchange, Global Change Biology 12 (11), 2146<d0>2162. doi:10.1111/j.1365-2486.2006.01251.x",Reference,The research objectives and goals are as follows (in no particular order): 1) Determine how rapidly midday net CO2 exchange recovers following catastrophic fire and how the phenology and seasonality of landatmosphere exchange vary with stand age; 2) Estimate the relative contributions of O horizon decomposition vs. plant sources by comparing the soil respiration in heterotrophic (decomposing organic horizons) and autotrophic (root and moss) components; 3) Comparison of photosynthesis sensitivity and ecosystem respiration as a function of interannual weather variability to estimate the combined effect on annual carbon exchange and successional dynamics; 4) Examine the components of NPP and their relation to stand structural characteristics; 5) Quantify temporal NPP and NEP changes over a variety of time scales.,NA,"The UCI-1850 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.",DOE/TCP,NA,NA,NA,NA,http://www.ess.uci.edu/~boreal_canada/B1850_Page.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luyssaert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-NS2,Canada,ENF,55.9058,-98.5247,500,http://sites.fluxdata.org/CA-NS2/,-6,NA,2005,2001,Eddy Covariance,CO2,NA,260,-2.88,NA,NA,NA,NA,NA,Continuous operation,NA,NA,"A. I. Hirsch; S. E. Trumbore; M. L. Goulden. 2004. The surface CO2 gradient and pore-space storage flux in a high-porosity litter layerTellus Series B-Chemical and Physical Meteorology. 56:4, 312-321.",Reference,The research objectives and goals are as follows (in no particular order): 1) Determine how rapidly midday net CO2 exchange recovers following catastrophic fire and how the phenology and seasonality of landatmosphere exchange vary with stand age; 2) Estimate the relative contributions of O horizon decomposition vs. plant sources by comparing the soil respiration in heterotrophic (decomposing organic horizons) and autotrophic (root and moss) components; 3) Comparison of photosynthesis sensitivity and ecosystem respiration as a function of interannual weather variability to estimate the combined effect on annual carbon exchange and successional dynamics; 4) Examine the components of NPP and their relation to stand structural characteristics; 5) Quantify temporal NPP and NEP changes over a variety of time scales.,NA,"The UCI-1930 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.",DOE/TCP,NA,NA,NA,NA,http://www.ess.uci.edu/~boreal_canada/B1930_Page.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luyssaert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA-NS3,Canada,ENF,55.9117,-98.3822,502,http://sites.fluxdata.org/CA-NS3/,-6,NA,2005,2001,Eddy Covariance,CO2,NA,260,-2.87,NA,NA,NA,NA,NA,Continuous operation,NA,NA,"A. I. Hirsch; S. E. Trumbore; M. L. Goulden. 2004. The surface CO2 gradient and pore-space storage flux in a high-porosity litter layerTellus Series B-Chemical and Physical Meteorology. 56:4, 312-321.",Reference,The research objectives and goals are as follows (in no particular order): 1) Determine how rapidly midday net CO2 exchange recovers following catastrophic fire and how the phenology and seasonality of landatmosphere exchange vary with stand age; 2) Estimate the relative contributions of O horizon decomposition vs. plant sources by comparing the soil respiration in heterotrophic (decomposing organic horizons) and autotrophic (root and moss) components; 3) Comparison of photosynthesis sensitivity and ecosystem respiration as a function of interannual weather variability to estimate the combined effect on annual carbon exchange and successional dynamics; 4) Examine the components of NPP and their relation to stand structural characteristics; 5) Quantify temporal NPP and NEP changes over a variety of time scales.,NA,"The UCI-1964 site is located in a continental boreal forest, dominated by black spruce trees, within the BOREAS northern study area in central Manitoba, Canada. The site is a member of a chronological series of sites that are representative secondary succession growth stages after large stand replacement fires. Black spruce trees undergo a slow growth process enabling the accurate determination of the chronosequence of stand age disturbance. Additionally, boreal forests make up approximately 25% of forest ecosystems on earth. With both of these in mind, the UCI sites provide an excellent location to study the CO2 exchange between the atmosphere and boreal forest ecosystems as a function of sequential wildfires.",DOE/TCP,NA,NA,NA,NA,http://www.ess.uci.edu/~boreal_canada/B1964_Page.html,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Luyssaert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
