sitename,lon,lat,elv,year_start,year_end,classid,c4,whc,koeppen_code,igbp_land_use,plant_functional_type
DE-Lkb,13.3047,49.0996,1308,2009,2013,ENF,FALSE,189.9990387,Cfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
DE-Obe,13.7196,50.7836,735,2008,2014,ENF,FALSE,246.8653564,Cfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
DE-RuR,6.3041,50.6219,514.7,2011,2014,GRA,FALSE,327.4595032,Cfb,Grasslands,Grass
DE-RuS,6.4472,50.8659,102.8,2011,2014,CRO,FALSE,367.7955322,Cfb,Urban and Built-Up,Urban and built up
DE-Seh,6.4497,50.8706,103,2007,2010,CRO,FALSE,367.7955322,Cfb,Croplands,Cereal crop
DE-SfN,11.3275,47.8064,590,2012,2014,WET,FALSE,244.3797913,Cfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
DE-Spw,14.0337,51.8923,63,2010,2014,WET,FALSE,194.3483734,Cfb,Mixed Forests,Deciduous Broadleaf Trees
DE-Tha,13.5669,50.9636,380,1996,2014,ENF,FALSE,295.663147,Cfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
DK-Fou,9.5872,56.4842,51,2005,2005,CRO,FALSE,179.309494,Cfb,Croplands,Cereal crop
DK-NuF,-51.3861,64.1308,50,2008,2014,WET,FALSE,102.6077728,ET,Open Shrublands,Shrub
DK-Sor,11.6446,55.4859,40,1996,2014,DBF,FALSE,226.4378052,Cfb,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
DK-ZaF,-20.5545,74.4814,38,2008,2011,WET,FALSE,227.7749176,ET,Open Shrublands,Shrub
DK-ZaH,-20.5503,74.4732,38,2000,2014,GRA,FALSE,241.8818512,ET,Open Shrublands,Shrub
ES-LgS,-2.9658,37.0979,2267,2007,2009,OSH,FALSE,272.3067627,Csa,Woody Savannas,Evergreen Needleleaf Trees
ES-Ln2,-3.4758,36.9695,2249,2009,2009,OSH,FALSE,246.1729889,Csa,Closed Shrublands,Shrub
FI-Hyy,24.295,61.8475,181,1996,2014,ENF,FALSE,255.05896,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
FI-Jok,23.5135,60.8986,109,2000,2003,CRO,FALSE,302.3960266,Dfc,Croplands,Broadleaf crop
FI-Lom,24.2092,67.9972,274,2007,2009,WET,FALSE,222.6843567,Dfc,Woody Savannas,Grass
FI-Sod,26.6378,67.3619,180,2001,2014,ENF,FALSE,197.9191437,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
FR-Fon,2.7801,48.4764,103,2005,2014,DBF,FALSE,335.1929016,Cfb,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
FR-Gri,1.9519,48.8442,125,2004,2013,CRO,TRUE,314.9073486,Cfb,Croplands,Cereal crop
FR-LBr,-0.7693,44.7171,61,1996,2008,ENF,FALSE,269.5765686,Cfb,Cropland/Natural Vegetation Mosaic,Shrub
FR-Pue,3.5958,43.7414,270,2000,2014,EBF,FALSE,239.649292,Csa,Mixed Forests,Evergreen Needleleaf Trees
GF-Guy,-52.9249,5.2788,48,2004,2014,EBF,FALSE,230.854126,Af,Evergreen Broadleaf Forest,Evergreen Broadleaf Trees
IT-BCi,14.9574,40.5238,20,2004,2014,CRO,TRUE,296.5398865,Csa,Croplands,Cereal crop
IT-CA1,12.0266,42.3804,200,2011,2014,DBF,FALSE,269.1038208,Csa,Croplands,Cereal crop
IT-CA2,12.026,42.3772,200,2011,2014,CRO,FALSE,269.1038208,Csa,Croplands,Cereal crop
IT-CA3,12.0222,42.38,197,2011,2014,DBF,FALSE,269.1296997,Csa,Croplands,Cereal crop
IT-Col,13.5881,41.8494,1560,1996,2014,DBF,FALSE,267.9767456,Cfa,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
IT-Cp2,12.3573,41.7043,19,2012,2014,EBF,FALSE,306.132843,Csa,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
IT-Cpz,12.3761,41.7052,68,1997,2009,EBF,FALSE,305.0664368,Csa,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
IT-Isp,8.6336,45.8126,210,2013,2014,DBF,FALSE,320.6810303,Cfb,Woody Savannas,Deciduous Broadleaf Trees
IT-La2,11.2853,45.9542,1350,2000,2002,ENF,FALSE,237.5950928,Cfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
IT-Lav,11.2813,45.9562,1353,2003,2014,ENF,FALSE,249.7970886,Cfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
IT-MBo,11.0458,46.0147,1550,2003,2013,GRA,FALSE,264.4438477,Dfb,Grasslands,Grass
IT-Noe,8.1515,40.6061,28,2004,2014,CSH,FALSE,237.0160522,-,Woody Savannas,Shrub
IT-PT1,9.061,45.2009,60,2002,2004,DBF,FALSE,317.9853516,Cfa,Croplands,Cereal crop
IT-Ren,11.4337,46.5869,1730,1998,2013,ENF,FALSE,167.4517212,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
IT-Ro1,11.93,42.4081,235,2000,2008,DBF,FALSE,269.2074585,Csa,Cropland/Natural Vegetation Mosaic,Deciduous Broadleaf Trees
IT-Ro2,11.9209,42.3903,160,2002,2012,DBF,FALSE,273.4582214,Csa,Cropland/Natural Vegetation Mosaic,Cereal crop
IT-SR2,10.291,43.732,12,2013,2014,ENF,FALSE,286.2259827,Csa,Mixed Forests,Evergreen Needleleaf Trees
IT-SRo,10.2844,43.7279,6,1999,2012,ENF,FALSE,286.2259827,Csa,Water,Water
IT-Tor,7.5781,45.8444,2160,2008,2014,GRA,FALSE,156.7254639,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
JP-MBF,142.3186,44.3869,545,2003,2005,DBF,FALSE,214.1848297,Dfb,Mixed Forests,Deciduous Broadleaf Trees
JP-SMF,137.0788,35.2617,175,2002,2006,MF,FALSE,294.9473877,Cfa,Croplands,Cereal crop
NL-Hor,5.0713,52.2404,2.2,2004,2011,GRA,FALSE,335.8494568,Cfb,Mixed Forests,Deciduous Broadleaf Trees
NL-Loo,5.7436,52.1666,25,1996,2013,ENF,FALSE,71.05941772,Cfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
NO-Adv,15.923,78.186,17,2011,2014,WET,FALSE,262.4961853,ET,Open Shrublands,Shrub
NO-Blv,11.8311,78.9216,25,2008,2009,SNO,FALSE,203.8401489,ET,Snow and Ice,Snow and Ice
RU-Che,161.3414,68.613,4,2002,2005,WET,FALSE,402.9957886,Dfc,Open Shrublands,Shrub
RU-Cok,147.4943,70.8291,48,2003,2014,OSH,FALSE,376.4962769,Dfc,Open Shrublands,Shrub
RU-Fyo,32.9221,56.4615,265,1998,2014,ENF,FALSE,301.4570923,Dfb,Mixed Forests,Evergreen Needleleaf Trees
RU-Ha1,90.0022,54.7252,446,2002,2004,GRA,FALSE,357.7788391,Dfc,Grasslands,Grass
SD-Dem,30.4783,13.2829,500,2005,2009,SAV,FALSE,200.0503845,BWh,Grasslands,Grass
SN-Dhr,-15.4322,15.4028,40,2010,2013,SAV,FALSE,196.4972076,BWh,Grasslands,Grass
US-AR1,-99.42,36.4267,611,2009,2012,GRA,FALSE,356.7785034,Cfa,Grasslands,Grass
US-AR2,-99.5975,36.6358,646,2009,2012,GRA,FALSE,222.0836792,Cfa,Grasslands,Grass
US-ARb,-98.0402,35.5497,424,2005,2006,GRA,FALSE,334.7418213,Cfa,Croplands,Cereal crop
US-ARc,-98.04,35.5465,424,2005,2006,GRA,FALSE,327.4441834,Cfa,Grasslands,Grass
US-ARM,-97.4888,36.6058,314,2003,2012,CRO,FALSE,331.8600769,Cfa,Croplands,Cereal crop
US-Blo,-120.6328,38.8953,1315,1997,2007,ENF,FALSE,323.6864319,Csb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
US-Cop,-109.39,38.09,1520,2001,2007,GRA,FALSE,334.2258911,BSk,Grasslands,Grass
US-GBT,-106.2397,41.3658,3191,1999,2006,ENF,FALSE,219.3778534,Dfc,Evergreen Needleleaf Forests,(null)
US-GLE,-106.2399,41.3665,3197,2004,2014,ENF,FALSE,207.5405273,Dfb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
US-Ha1,-72.1715,42.5378,340,1991,2012,DBF,FALSE,193.8503265,Dfb,Mixed Forests,Deciduous Broadleaf Trees
US-KS2,-80.6715,28.6086,3,2003,2006,CSH,FALSE,205.2780151,Cfa,Woody Savannas,Shrub
US-Los,-89.9792,46.0827,480,2000,2014,WET,FALSE,233.3768768,Dfb,Mixed Forests,Deciduous Broadleaf Trees
US-Me1,-121.5,44.5794,896,2004,2005,ENF,FALSE,316.7529602,Csb,Croplands,Cereal crop
US-Me2,-121.5574,44.4523,1253,2002,2014,ENF,FALSE,244.583313,Csb,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
US-Me6,-121.6078,44.3233,998,2010,2014,ENF,FALSE,226.5163879,Csb,Woody Savannas,Shrub
US-MMS,-86.4131,39.3232,275,1999,2014,DBF,FALSE,343.0158081,Cfa,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
US-Myb,-121.7651,38.0498,-1,2010,2014,WET,FALSE,312.2982788,Csb,Woody Savannas,Grass
US-Ne1,-96.4766,41.1651,361,2001,2013,CRO,TRUE,344.2863159,Dfa,Croplands,Broadleaf crop
US-Ne2,-96.4701,41.1649,362,2001,2013,CRO,TRUE,346.0880432,Dfa,Croplands,Broadleaf crop
US-Ne3,-96.4397,41.1797,363,2001,2013,CRO,TRUE,342.5169678,Dfa,Croplands,Broadleaf crop
US-NR1,-105.5464,40.0329,3050,1998,2014,ENF,FALSE,170.7598572,Dfc,Evergreen Needleleaf Forest,Evergreen Needleleaf Trees
US-ORv,-83.0183,40.0201,221,2011,2011,WET,FALSE,337.6877747,Dfa,Urban and Built-Up,Urban and built up
US-PFa,-90.2723,45.9459,470,1995,2014,MF,FALSE,203.7393341,Dfb,Mixed Forests,Deciduous Broadleaf Trees
US-Prr,-147.4876,65.1237,210,2010,2013,ENF,FALSE,382.2037354,Dfc,Evergreen Needleleaf Forests,Evergreen Needleleaf Trees
US-SRG,-110.8277,31.7894,1291,2008,2014,GRA,FALSE,154.8731995,BSk,Grasslands,Shrub
US-SRM,-110.8661,31.8214,1120,2004,2014,WSA,FALSE,201.2453918,BSk,Open Shrublands,Shrub
US-Syv,-89.3477,46.242,540,2001,2014,MF,FALSE,222.6920776,Dfb,Mixed Forests,Deciduous Broadleaf Trees
US-Ton,-120.966,38.4316,177,2001,2014,WSA,FALSE,304.4613953,Csa,Woody Savannas,Shrub
US-Tw1,-121.6469,38.1074,-9,2012,2014,WET,FALSE,309.127594,Csa,Permanent Wetlands,Cereal crop
US-Tw2,-121.6433,38.1047,-5,2012,2013,CRO,FALSE,309.127594,Csa,Cropland,Cereal crop
US-Tw3,-121.6467,38.1159,-9,2013,2014,CRO,FALSE,313.302002,Csa,Cropland,Broadleaf crop
US-Tw4,-121.6414,38.103,-5,2013,2014,WET,FALSE,307.500885,Csa,Permanent Wetlands,Cereal crop
US-Twt,-121.653,38.1087,-2,2009,2014,CRO,FALSE,313.1351318,Csa,Croplands,Broadleaf crop
US-UMB,-84.7138,45.5598,234,2000,2014,DBF,FALSE,174.0702515,Dfb,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
US-UMd,-84.6975,45.5625,239,2007,2014,DBF,FALSE,235.3118286,Dfb,Mixed Forests,Deciduous Broadleaf Trees
US-Var,-120.9507,38.4133,129,2000,2014,GRA,FALSE,307.5137329,Csa,Woody Savannas,Shrub
US-WCr,-90.0799,45.8059,520,1999,2014,DBF,FALSE,264.9615173,Dfb,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
US-Whs,-110.0522,31.7438,1370,2007,2014,OSH,FALSE,233.3881836,BSk,Open Shrublands,Shrub
US-Wi0,-91.0814,46.6188,349,2002,2002,ENF,FALSE,325.711792,Dfb,Mixed Forests,Evergreen Needleleaf Trees
US-Wi3,-91.0987,46.6347,411,2002,2004,DBF,FALSE,343.6753235,Dfb,Deciduous Broadleaf Forest,Deciduous Broadleaf Trees
US-Wi4,-91.1663,46.7393,352,2002,2005,ENF,FALSE,299.2953796,Dfb,Mixed Forests,Evergreen Needleleaf Trees
US-Wi6,-91.2982,46.6249,371,2002,2003,OSH,FALSE,334.2886963,Dfb,Cropland/Natural Vegetation Mosaic,Cereal crop
US-Wi9,-91.0814,46.6188,350,2004,2005,ENF,FALSE,325.711792,Dfb,Mixed Forests,Evergreen Needleleaf Trees
US-Wkg,-109.9419,31.7365,1531,2004,2014,GRA,FALSE,209.4907379,BSk,Grasslands,Grass
ZA-Kru,31.4969,-25.0197,359,2000,2010,SAV,FALSE,276.6885681,BSh,Savannas,Grass
ZM-Mon,23.2528,-15.4378,1053,2000,2009,DBF,FALSE,132.6269684,Aw,Savannas,Grass
